0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:03:12 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:03:12 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:03:12 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:03:13 +0530] "GET /newJsp/getUser.jsp?id= HTTP/1.1" 500 2097
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:03:55 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:03:55 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:03:55 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:04:04 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:04:04 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:05:38 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:05:39 +0530] "GET /newJsp/getUser.jsp?id=16 HTTP/1.1" 500 2097
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:12:17 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:12:19 +0530] "GET /newJsp/getUser.jsp?id=16 HTTP/1.1" 500 2449
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:41:04 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:41:04 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:41:04 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:41:04 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:41:06 +0530] "GET /newJsp/getUser.jsp?id=16 HTTP/1.1" 500 2450
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:41:57 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:41:57 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:41:57 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:41:58 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:41:59 +0530] "GET /newJsp/getUser.jsp?id=16 HTTP/1.1" 500 2440
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:42:23 +0530] "GET /newJsp/getUser.jsp?id=16 HTTP/1.1" 500 2440
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:43:08 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:43:08 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:43:08 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:43:08 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:43:10 +0530] "GET /newJsp/getUser.jsp?id=16 HTTP/1.1" 500 2450
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:44:13 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:44:13 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:44:13 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:44:15 +0530] "GET /newJsp/getUser.jsp?id=16 HTTP/1.1" 500 2450
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:44:50 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:44:50 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:44:50 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:44:52 +0530] "GET /newJsp/getUser.jsp?id=16 HTTP/1.1" 500 2450
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:45:57 +0530] "GET /newJsp/deleteUser.jsp?id=16 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:45:57 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:45:58 +0530] "GET /newJsp/updateUser.jsp?id=12 HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:46:02 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:46:03 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 995
